frame,time,x,y,mask_area
530,17.666666666666668,1122,821,653
531,17.7,1122,821,646
532,17.733333333333334,1122,822,616
533,17.766666666666666,1122,822,597
534,17.8,1122,821,713
535,17.833333333333332,1122,821,717
536,17.866666666666667,1122,821,724
537,17.9,1122,821,729
538,17.933333333333334,1122,821,737
539,17.966666666666665,1122,821,731
540,18.0,1122,821,753
541,18.033333333333335,1122,821,743
542,18.066666666666666,1122,821,763
543,18.1,1122,821,768
544,18.133333333333333,1121,821,790
545,18.166666666666668,1121,820,813
546,18.2,1120,819,875
547,18.233333333333334,1119,818,943
548,18.266666666666666,1118,814,896
549,18.3,1118,814,896
550,18.333333333333332,1118,811,922
551,18.366666666666667,1118,812,962
552,18.4,1119,820,962
553,18.433333333333334,1122,832,938
554,18.466666666666665,1125,849,1022
555,18.5,1125,849,1041
556,18.533333333333335,1128,864,866
557,18.566666666666666,1132,880,720
558,18.6,1139,891,533
559,18.633333333333333,1147,890,472
560,18.666666666666668,1152,900,1144
561,18.7,1152,900,1178
562,18.733333333333334,1153,902,1143
563,18.766666666666666,1154,904,1280
564,18.8,1155,904,1380
565,18.833333333333332,1155,907,1258
566,18.866666666666667,1156,905,1412
567,18.9,1156,905,1439
568,18.933333333333334,1155,907,1313
569,18.966666666666665,1155,906,1339
570,19.0,1394,871,2806
571,19.033333333333335,1463,884,1636
572,19.066666666666666,1463,884,1675
573,19.1,1463,884,1664
574,19.133333333333333,1463,884,1634
575,19.166666666666668,1463,884,1626
576,19.2,1463,884,1597
577,19.233333333333334,1463,884,1650
578,19.266666666666666,1463,884,1654
579,19.3,1463,884,1653
580,19.333333333333332,1462,884,1653
581,19.366666666666667,1462,884,1682
582,19.4,1462,884,1711
583,19.433333333333334,1462,884,1701
584,19.466666666666665,1462,884,1690
585,19.5,1462,884,1696
586,19.533333333333335,1462,885,1678
587,19.566666666666666,1462,885,1648
588,19.6,1462,885,1629
589,19.633333333333333,1462,885,1606
590,19.666666666666668,1463,885,1592
591,19.7,1463,885,1588
592,19.733333333333334,1462,885,1665
593,19.766666666666666,1462,885,1673
594,19.8,1462,885,1675
595,19.833333333333332,1462,885,1687
596,19.866666666666667,1463,884,1674
597,19.9,1463,884,1687
598,19.933333333333334,1458,877,1896
599,19.966666666666665,1438,875,1963
600,20.0,1403,880,2085
601,20.033333333333335,1360,884,2103
602,20.066666666666666,1315,879,1904
603,20.1,1314,879,1883
604,20.133333333333333,1272,878,1871
605,20.166666666666668,1231,876,1566
606,20.2,1198,874,1565
607,20.233333333333334,1173,883,1725
608,20.266666666666666,1158,892,1220
609,20.3,1157,891,1311
610,20.333333333333332,1155,896,1096
611,20.366666666666667,1155,899,1019
612,20.4,1155,900,1007
613,20.433333333333334,1155,900,994
614,20.466666666666665,1154,899,1010
615,20.5,1153,895,1200
616,20.533333333333335,1154,899,941
617,20.566666666666666,1154,898,950
618,20.6,1153,896,809
619,20.633333333333333,1103,886,2074
620,20.666666666666668,1076,883,2474
621,20.7,1076,883,2396
622,20.733333333333334,1049,880,2467
623,20.766666666666666,1024,874,2564
624,20.8,1006,866,2090
625,20.833333333333332,993,861,2085
626,20.866666666666667,983,854,1827
627,20.9,985,864,1436
628,20.933333333333334,976,846,1373
629,20.966666666666665,971,845,1348
630,21.0,969,847,1403
631,21.033333333333335,971,851,1351
632,21.066666666666666,972,849,1484
633,21.1,972,849,1456
634,21.133333333333333,972,845,1627
635,21.166666666666668,972,842,1701
636,21.2,968,842,1569
637,21.233333333333334,959,844,1391
638,21.266666666666666,951,847,1062
639,21.3,950,846,1213
640,21.333333333333332,948,847,1145
641,21.366666666666667,947,848,1064
642,21.4,947,848,1079
643,21.433333333333334,947,847,1095
644,21.466666666666665,947,847,1089
645,21.5,947,847,1087
646,21.533333333333335,950,845,1141
647,21.566666666666666,960,836,1056
648,21.6,978,836,1205
649,21.633333333333333,1009,834,1243
650,21.666666666666668,1044,833,1168
651,21.7,1044,832,1189
652,21.733333333333334,1071,836,1029
653,21.766666666666666,1076,840,932
654,21.8,1075,840,882
655,21.833333333333332,1075,840,904
656,21.866666666666667,1075,840,912
657,21.9,1075,840,898
658,21.933333333333334,1073,839,852
659,21.966666666666665,1068,839,662
660,22.0,1054,839,658
661,22.033333333333335,1020,841,894
662,22.066666666666666,978,845,933
663,22.1,978,846,973
664,22.133333333333333,935,847,928
665,22.166666666666668,893,854,1061
666,22.2,850,853,1711
667,22.233333333333334,761,848,894
668,22.266666666666666,728,853,1758
669,22.3,728,853,1798
670,22.333333333333332,682,855,1858
671,22.366666666666667,638,856,1923
672,22.4,603,855,1969
673,22.433333333333334,572,855,2196
674,22.466666666666665,542,866,2282
675,22.5,542,867,2260
676,22.533333333333335,522,888,2644
677,22.566666666666666,502,908,3274
678,22.6,498,912,2882
679,22.633333333333333,495,917,2407
680,22.666666666666668,495,917,2390
681,22.7,495,917,2418
682,22.733333333333334,495,918,2400
683,22.766666666666666,494,918,2348
684,22.8,495,918,2445
685,22.833333333333332,494,919,2389
686,22.866666666666667,494,919,2409
687,22.9,494,919,2416
688,22.933333333333334,494,919,2410
689,22.966666666666665,494,918,2424
690,23.0,494,918,2318
691,23.033333333333335,494,918,2420
692,23.066666666666666,494,918,2414
693,23.1,494,918,2414
694,23.133333333333333,494,917,2432
695,23.166666666666668,495,914,2589
696,23.2,502,906,2271
697,23.233333333333334,512,900,1942
698,23.266666666666666,531,898,1825
699,23.3,531,898,1860
700,23.333333333333332,557,898,1545
701,23.366666666666667,589,894,1194
702,23.4,620,882,1267
703,23.433333333333334,646,875,1207
704,23.466666666666665,668,868,1099
705,23.5,668,868,1098
706,23.533333333333335,683,864,615
707,23.566666666666666,719,860,415
708,23.6,729,848,856
709,23.633333333333333,739,846,821
710,23.666666666666668,740,846,932
711,23.7,740,846,977
712,23.733333333333334,742,847,804
713,23.766666666666666,751,847,126
714,23.8,737,836,535
715,23.833333333333332,733,843,944
716,23.866666666666667,717,829,1472
717,23.9,717,830,1437
718,23.933333333333334,700,829,1203
719,23.966666666666665,684,825,1428
720,24.0,679,827,1496
721,24.033333333333335,680,826,1589
722,24.066666666666666,679,836,921
723,24.1,679,836,933
724,24.133333333333333,679,836,935
725,24.166666666666668,684,826,1431
726,24.2,703,821,1529
727,24.233333333333334,736,821,1941
728,24.266666666666666,784,808,1195
729,24.3,784,809,1236
730,24.333333333333332,832,799,1368
731,24.366666666666667,874,796,1444
732,24.4,909,795,1184
733,24.433333333333334,987,813,404
734,24.466666666666665,1031,810,888
735,24.5,1028,810,1044
736,24.533333333333335,1078,812,1211
737,24.566666666666666,1118,824,1555
738,24.6,1126,830,1227
739,24.633333333333333,1126,833,1107
740,24.666666666666668,1132,831,956
741,24.7,1130,831,1085
742,24.733333333333334,1130,834,954
743,24.766666666666666,1129,831,1186
744,24.8,1140,826,799
745,24.833333333333332,1143,824,997
746,24.866666666666667,1145,827,1174
747,24.9,1144,826,1177
748,24.933333333333334,1155,842,1149
749,24.966666666666665,1163,860,1162
750,25.0,1166,876,1368
751,25.033333333333335,1169,892,1222
752,25.066666666666666,1162,901,1076
753,25.1,1162,901,1053
754,25.133333333333333,1153,905,728
755,25.166666666666668,1135,916,1688
756,25.2,1127,917,1609
757,25.233333333333334,1130,934,1352
758,25.266666666666666,1131,938,1209
759,25.3,1131,938,1194
760,25.333333333333332,1130,937,1242
761,25.366666666666667,1130,938,1260
762,25.4,1129,937,1283
763,25.433333333333334,1127,936,1323
764,25.466666666666665,1117,939,1539
765,25.5,1117,939,1553
766,25.533333333333335,1093,937,2244
767,25.566666666666666,1071,941,2348
768,25.6,1070,943,2319
769,25.633333333333333,1070,942,2405
770,25.666666666666668,1071,945,2169
771,25.7,1071,945,2166
772,25.733333333333334,1072,941,2467
773,25.766666666666666,1069,933,2302
774,25.8,1054,932,1889
775,25.833333333333332,1016,930,2340
776,25.866666666666667,970,921,3028
777,25.9,969,921,3189
778,25.933333333333334,949,924,1485
779,25.966666666666665,942,924,682
780,26.0,946,924,435
781,26.033333333333335,910,928,704
782,26.066666666666666,905,926,1050
783,26.1,904,926,1025
784,26.133333333333333,912,923,1677
785,26.166666666666668,916,923,1967
786,26.2,915,923,1737
787,26.233333333333334,912,922,1643
788,26.266666666666666,912,922,1608
789,26.3,912,922,1626
790,26.333333333333332,912,922,1627
791,26.366666666666667,913,921,1621
792,26.4,914,921,1564
793,26.433333333333334,914,920,1558
794,26.466666666666665,915,918,1609
795,26.5,915,917,1604
796,26.533333333333335,915,914,1675
797,26.566666666666666,916,908,1665
798,26.6,914,898,1639
799,26.633333333333333,908,884,1613
800,26.666666666666668,904,874,1585
801,26.7,904,874,1574
802,26.733333333333334,896,867,1341
803,26.766666666666666,885,864,1070
804,26.8,867,863,769
805,26.833333333333332,845,863,575
806,26.866666666666667,821,861,540
807,26.9,820,861,540
808,26.933333333333334,800,848,727
809,26.966666666666665,791,844,392
810,27.0,789,841,396
811,27.033333333333335,790,842,308
812,27.066666666666666,789,841,328
813,27.1,789,840,318
814,27.133333333333333,789,840,322
815,27.166666666666668,790,840,306
816,27.2,790,839,309
817,27.233333333333334,786,835,542
818,27.266666666666666,783,833,547
819,27.3,783,831,597
820,27.333333333333332,781,832,492
821,27.366666666666667,783,830,404
822,27.4,784,829,378
823,27.433333333333334,783,827,423
824,27.466666666666665,782,830,339
825,27.5,782,829,352
826,27.533333333333335,781,829,366
827,27.566666666666666,781,830,330
828,27.6,781,829,314
829,27.633333333333333,782,828,253
830,27.666666666666668,646,821,1261
831,27.7,646,820,1335
832,27.733333333333334,644,818,1344
833,27.766666666666666,637,812,1249
834,27.8,622,805,1245
836,27.866666666666667,605,917,2301
837,27.9,606,922,2208
838,27.933333333333334,575,850,2953
839,27.966666666666665,576,861,3125
840,28.0,572,860,2606
841,28.033333333333335,575,863,2579
842,28.066666666666666,580,865,2808
843,28.1,580,866,2797
844,28.133333333333333,580,860,2770
845,28.166666666666668,584,859,2806
846,28.2,525,816,1597
847,28.233333333333334,525,815,1617
848,28.266666666666666,525,815,1676
849,28.3,525,815,1624
850,28.333333333333332,525,815,1619
851,28.366666666666667,526,815,1575
852,28.4,527,814,1610
853,28.433333333333334,530,811,1526
854,28.466666666666665,541,804,1686
855,28.5,541,804,1668
856,28.533333333333335,558,804,1423
857,28.566666666666666,586,808,1550
